17:42:50  [main] 	Initializing Control Panel
17:42:50  [main] 	Windows Version:  Home  64-bit
17:42:50  [main] 	XAMPP Version: 8.0.6
17:42:50  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
17:42:50  [main] 	You are not running with administrator rights! This will work for
17:42:50  [main] 	most application stuff but whenever you do something with services
17:42:50  [main] 	there will be a security dialogue or things will break! So think 
17:42:50  [main] 	about running this application with administrator rights!
17:42:50  [main] 	XAMPP Installation Directory: "c:\xampp\"
17:42:50  [main] 	Checking for prerequisites
17:42:51  [main] 	All prerequisites found
17:42:51  [main] 	Initializing Modules
17:42:51  [main] 	Starting Check-Timer
17:42:51  [main] 	Control Panel Ready
17:42:58  [Apache] 	Attempting to start Apache app...
17:42:58  [Apache] 	Status change detected: running
17:42:59  [mysql] 	Attempting to start MySQL app...
17:42:59  [mysql] 	Status change detected: running
18:03:04  [Apache] 	Attempting to stop Apache (PID: 15352)
18:03:04  [Apache] 	Attempting to stop Apache (PID: 1584)
18:03:04  [Apache] 	Status change detected: stopped
18:03:05  [mysql] 	Attempting to stop MySQL app...
18:03:05  [mysql] 	Status change detected: stopped
18:10:52  [main] 	Deinitializing Modules
18:10:52  [main] 	Deinitializing Control Panel

